Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
October 31 2023,Contra Costa,CA,Passenger,1,1,2,160,162,1.23
April 30 2017,Riverside,CA,Passenger,1,1,2,843,845,0.24
February 28 2021,San Bernardino,CA,Passenger,1,0,1,399,400,0.25
April 30 2018,Monterey,CA,Passenger,0,1,1,193,194,0.52
November 30 2019,Shasta,CA,Passenger,1,0,1,39,40,2.5
May 31 2020,Solano,CA,Passenger,1,0,1,211,212,0.47
September 30 2017,Monterey,CA,Passenger,0,2,2,200,202,0.99
March 31 2020,San Francisco,CA,Passenger,2,2,4,106,110,3.64
April 30 2019,Lake,CA,Passenger,0,1,1,11,12,8.33
December 31 2023,Yuba,CA,Passenger,1,0,1,47,48,2.08
March 31 2022,Sonoma,CA,Passenger,0,1,1,91,92,1.09
March 31 2020,Lake,CA,Passenger,0,1,1,11,12,8.33
April 30 2023,Solano,CA,Passenger,5,1,6,151,157,3.82
February 29 2024,Los Angeles,CA,Passenger,11,3,14,596,610,2.3
July 31 2020,Santa Cruz,CA,Passenger,1,0,1,33,34,2.94
January 31 2018,Orange,CA,Passenger,3,1,4,591,595,0.67
November 30 2021,Contra Costa,CA,Passenger,1,3,4,251,255,1.57
November 30 2024,Fresno,CA,Passenger,0,1,1,105,106,0.94
June 30 2023,Kings,CA,Passenger,2,2,4,271,275,1.45
April 30 2022,San Diego,CA,Passenger,16,6,22,2538,2560,0.86
February 28 2021,Ventura,CA,Passenger,1,2,3,293,296,1.01
August 31 2024,Yolo,CA,Passenger,3,0,3,22,25,12.0
November 30 2023,San Luis Obispo,CA,Passenger,1,1,2,44,46,4.35
September 30 2019,Los Angeles,CA,Passenger,7,7,14,1130,1144,1.22
March 31 2024,Sacramento,CA,Passenger,2,1,3,155,158,1.9
November 30 2023,San Benito,CA,Passenger,1,0,1,6,7,14.29
February 28 2023,Sacramento,CA,Passenger,3,1,4,219,223,1.79
March 31 2023,Marin,CA,Passenger,2,1,3,37,40,7.5
October 31 2018,Contra Costa,CA,Passenger,0,1,1,409,410,0.24
November 30 2022,El Dorado,CA,Passenger,1,0,1,25,26,3.85
April 30 2024,Riverside,CA,Passenger,6,0,6,371,377,1.59
October 31 2021,Sacramento,CA,Passenger,2,1,3,260,263,1.14
October 31 2020,San Francisco,CA,Passenger,1,2,3,99,102,2.94
May 31 2021,San Mateo,CA,Passenger,2,0,2,123,125,1.6
October 31 2022,Ventura,CA,Passenger,3,3,6,250,256,2.34
August 31 2024,Santa Clara,CA,Passenger,11,3,14,146,160,8.75
July 31 2023,Sacramento,CA,Passenger,3,1,4,187,191,2.09
January 31 2020,Sacramento,CA,Passenger,1,1,2,306,308,0.65
April 30 2020,Los Angeles,CA,Passenger,6,11,17,1055,1072,1.59
June 30 2021,Fresno,CA,Passenger,1,0,1,196,197,0.51
July 31 2023,San Diego,CA,Passenger,20,7,27,2221,2248,1.2
April 30 2023,San Joaquin,CA,Passenger,0,1,1,93,94,1.06
September 30 2020,Santa Cruz,CA,Passenger,1,0,1,33,34,2.94
March 31 2022,Riverside,CA,Passenger,9,0,9,532,541,1.66
November 30 2022,Alameda,CA,Passenger,7,2,9,206,215,4.19
February 29 2020,Alameda,CA,Passenger,3,1,4,301,305,1.31
March 31 2023,Alameda,CA,Passenger,7,1,8,200,208,3.85
May 31 2024,Marin,CA,Passenger,2,1,3,31,34,8.82
December 31 2019,Riverside,CA,Passenger,5,1,6,661,667,0.9
November 30 2019,Sacramento,CA,Passenger,0,1,1,312,313,0.32
March 31 2022,Santa Cruz,CA,Passenger,1,0,1,29,30,3.33
June 30 2024,Solano,CA,Passenger,5,0,5,134,139,3.6
July 31 2017,Lake,CA,Passenger,0,1,1,15,16,6.25
January 31 2022,Los Angeles,CA,Passenger,7,6,13,902,915,1.42
October 31 2019,Kern,CA,Passenger,0,1,1,223,224,0.45
April 30 2023,San Francisco,CA,Passenger,3,0,3,80,83,3.61
April 30 2019,Contra Costa,CA,Passenger,2,1,3,381,384,0.78
February 29 2024,Orange,CA,Passenger,7,2,9,319,328,2.74
July 31 2022,El Dorado,CA,Passenger,1,0,1,27,28,3.57
May 31 2019,Monterey,CA,Passenger,0,1,1,197,198,0.51
April 30 2024,Sacramento,CA,Truck,1,0,1,31,32,3.12
February 28 2022,Kern,CA,Passenger,0,1,1,206,207,0.48
November 30 2021,Sacramento,CA,Passenger,2,1,3,261,264,1.14
November 30 2024,Sacramento,CA,Passenger,1,0,1,122,123,0.81
June 30 2024,Monterey,CA,Truck,1,0,1,26,27,3.7
February 29 2024,Kern,CA,Passenger,1,1,2,162,164,1.22
April 30 2020,Sacramento,CA,Passenger,1,1,2,289,291,0.69
April 30 2023,San Mateo,CA,Passenger,3,0,3,86,89,3.37
March 31 2023,Santa Clara,CA,Passenger,14,5,19,227,246,7.72
December 31 2021,Riverside,CA,Passenger,7,0,7,553,560,1.25
December 31 2018,Ventura,CA,Passenger,0,2,2,338,340,0.59
December 31 2021,San Joaquin,CA,Passenger,0,1,1,108,109,0.92
November 30 2024,Sonoma,CA,Passenger,1,1,2,48,50,4.0
November 30 2021,Ventura,CA,Passenger,2,3,5,279,284,1.76
October 31 2021,Orange,CA,Passenger,6,2,8,451,459,1.74
March 31 2023,Solano,CA,Passenger,4,1,5,154,159,3.14
August 31 2019,Los Angeles,CA,Passenger,6,6,12,1142,1154,1.04
December 31 2021,San Mateo,CA,Passenger,3,0,3,99,102,2.94
May 31 2019,Kern,CA,Passenger,0,1,1,224,225,0.44
April 30 2018,San Mateo,CA,Passenger,1,1,2,136,138,1.45
March 31 2021,Santa Clara,CA,Passenger,10,2,12,291,303,3.96
March 31 2024,San Diego,CA,Passenger,20,9,29,1987,2016,1.44
January 31 2023,San Diego,CA,Passenger,22,7,29,2394,2423,1.2
July 31 2023,Solano,CA,Passenger,5,1,6,144,150,4.0
September 30 2020,Monterey,CA,Passenger,0,2,2,169,171,1.17
November 30 2023,Yolo,CA,Passenger,3,0,3,23,26,11.54
June 30 2017,Sacramento,CA,Passenger,0,1,1,384,385,0.26
August 31 2017,Sacramento,CA,Passenger,1,1,2,356,358,0.56
July 31 2020,San Diego,CA,Passenger,15,3,18,2760,2778,0.65
December 31 2021,Contra Costa,CA,Passenger,1,3,4,249,253,1.58
September 30 2022,Ventura,CA,Passenger,3,3,6,251,257,2.33
October 31 2023,Sonoma,CA,Passenger,2,1,3,63,66,4.55
July 31 2022,Los Angeles,CA,Passenger,6,7,13,843,856,1.52
January 31 2020,Riverside,CA,Passenger,5,1,6,669,675,0.89
June 30 2023,Marin,CA,Passenger,2,1,3,36,39,7.69
July 31 2020,Placer,CA,Passenger,2,0,2,96,98,2.04
August 31 2019,Contra Costa,CA,Passenger,2,1,3,362,365,0.82
February 29 2020,Lake,CA,Passenger,0,1,1,11,12,8.33
May 31 2022,Alameda,CA,Passenger,6,2,8,216,224,3.57
December 31 2020,San Francisco,CA,Passenger,1,2,3,103,106,2.83
September 30 2019,San Francisco,CA,Passenger,2,2,4,111,115,3.48
July 31 2021,San Diego,CA,Passenger,19,4,23,2600,2623,0.88
August 31 2019,Alameda,CA,Passenger,3,1,4,308,312,1.28
December 31 2020,San Mateo,CA,Passenger,2,1,3,127,130,2.31
September 30 2022,Kings,CA,Passenger,2,1,3,299,302,0.99
December 31 2022,Kings,CA,Passenger,2,1,3,291,294,1.02
March 31 2022,Fresno,CA,Passenger,1,0,1,172,173,0.58
June 30 2017,Santa Clara,CA,Passenger,5,2,7,410,417,1.68
June 30 2022,San Mateo,CA,Passenger,3,0,3,102,105,2.86
March 31 2023,San Joaquin,CA,Passenger,0,1,1,90,91,1.1
September 30 2023,San Luis Obispo,CA,Passenger,1,1,2,48,50,4.0
July 31 2022,Marin,CA,Passenger,1,1,2,35,37,5.41
April 30 2019,Monterey,CA,Passenger,0,1,1,194,195,0.51
August 31 2024,Riverside,CA,Passenger,5,0,5,346,351,1.42
December 31 2022,San Diego,CA,Passenger,22,6,28,2411,2439,1.15
April 30 2019,Shasta,CA,Passenger,1,0,1,40,41,2.44
June 30 2019,Orange,CA,Passenger,6,1,7,555,562,1.25
August 31 2018,Santa Clara,CA,Passenger,8,0,8,390,398,2.01
January 31 2021,Sacramento,CA,Passenger,2,1,3,267,270,1.11
January 31 2019,Sacramento,CA,Passenger,0,1,1,309,310,0.32
November 30 2019,Santa Cruz,CA,Passenger,1,0,1,38,39,2.56
October 31 2018,Monterey,CA,Passenger,0,1,1,196,197,0.51
August 31 2024,Contra Costa,CA,Passenger,2,1,3,122,125,2.4
January 31 2024,Sacramento,CA,Truck,1,0,1,31,32,3.12
January 31 2019,San Francisco,CA,Passenger,2,2,4,118,122,3.28
June 30 2021,Alameda,CA,Passenger,4,0,4,254,258,1.55
January 31 2018,Alameda,CA,Passenger,0,1,1,369,370,0.27
June 30 2023,Sacramento,CA,Passenger,3,1,4,196,200,2.0
October 31 2019,Contra Costa,CA,Passenger,2,2,4,351,355,1.13
January 31 2017,Alameda,CA,Passenger,6,1,7,404,411,1.7
March 31 2019,San Francisco,CA,Passenger,2,2,4,114,118,3.39
May 31 2024,Sacramento,CA,Passenger,2,1,3,146,149,2.01
July 31 2024,San Francisco,CA,Passenger,2,0,2,51,53,3.77
September 30 2021,Placer,CA,Passenger,2,0,2,80,82,2.44
August 31 2021,Orange,CA,Passenger,6,2,8,457,465,1.72
December 31 2019,Shasta,CA,Passenger,1,0,1,38,39,2.56
February 28 2021,Kern,CA,Passenger,0,1,1,219,220,0.45
May 31 2022,Riverside,CA,Passenger,10,0,10,533,543,1.84
December 31 2023,Marin,CA,Passenger,2,1,3,32,35,8.57
January 31 2018,Sacramento,CA,Passenger,1,1,2,319,321,0.62
March 31 2022,Alameda,CA,Passenger,6,1,7,227,234,2.99
November 30 2023,Sonoma,CA,Passenger,2,1,3,63,66,4.55
May 31 2019,San Mateo,CA,Passenger,2,1,3,131,134,2.24
March 31 2024,San Benito,CA,Passenger,1,0,1,5,6,16.67
September 30 2024,Sacramento,CA,Truck,1,0,1,28,29,3.45
August 31 2023,San Joaquin,CA,Passenger,0,1,1,82,83,1.2
September 30 2020,San Diego,CA,Passenger,16,3,19,2741,2760,0.69
June 30 2020,Sacramento,CA,Passenger,1,1,2,288,290,0.69
September 30 2018,Contra Costa,CA,Passenger,0,1,1,414,415,0.24
