Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2024,Ulster,NY,Passenger,1,0,1,6,7,14.29
June 30 2024,Kings,NY,Passenger,1,0,1,32,33,3.03
July 31 2022,Nassau,NY,Passenger,4,0,4,31,35,11.43
April 30 2020,Queens,NY,Passenger,1,0,1,54,55,1.82
July 31 2020,Queens,NY,Passenger,1,0,1,51,52,1.92
March 31 2021,Ulster,NY,Passenger,1,0,1,12,13,7.69
July 31 2023,Richmond,NY,Passenger,1,0,1,3,4,25.0
December 31 2022,Nassau,NY,Passenger,4,0,4,27,31,12.9
October 31 2017,Nassau,NY,Passenger,1,1,2,41,43,4.65
October 31 2020,Kings,NY,Passenger,1,0,1,70,71,1.41
July 31 2021,Saratoga,NY,Passenger,1,0,1,44,45,2.22
January 31 2023,Jefferson,NY,Passenger,2,0,2,214,216,0.93
June 30 2020,Nassau,NY,Passenger,5,0,5,36,41,12.2
September 30 2021,Richmond,NY,Passenger,1,0,1,4,5,20.0
May 31 2018,Saratoga,NY,Passenger,1,1,2,63,65,3.08
January 31 2022,Jefferson,NY,Passenger,1,0,1,210,211,0.47
December 31 2020,Ulster,NY,Passenger,1,0,1,13,14,7.14
June 30 2022,Ulster,NY,Passenger,1,0,1,15,16,6.25
September 30 2017,Jefferson,NY,Passenger,1,0,1,240,241,0.41
December 31 2017,Jefferson,NY,Passenger,1,0,1,230,231,0.43
August 31 2021,Ulster,NY,Passenger,1,0,1,13,14,7.14
May 31 2020,Nassau,NY,Passenger,5,0,5,40,45,11.11
June 30 2017,Saratoga,NY,Passenger,1,1,2,74,76,2.63
February 28 2019,Jefferson,NY,Passenger,0,1,1,223,224,0.45
November 30 2019,Nassau,NY,Passenger,4,0,4,45,49,8.16
November 30 2023,Richmond,NY,Passenger,1,0,1,3,4,25.0
April 30 2023,Nassau,NY,Passenger,4,0,4,28,32,12.5
June 30 2021,Kings,NY,Passenger,1,0,1,75,76,1.32
February 28 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
September 30 2019,Jefferson,NY,Passenger,0,1,1,213,214,0.47
February 28 2017,Saratoga,NY,Passenger,1,1,2,77,79,2.53
December 31 2022,Jefferson,NY,Passenger,2,0,2,214,216,0.93
September 30 2020,Queens,NY,Passenger,1,0,1,55,56,1.79
January 31 2023,New York,NY,Passenger,2,0,2,38,40,5.0
April 30 2018,Queens,NY,Passenger,1,0,1,63,64,1.56
June 30 2021,Nassau,NY,Passenger,3,0,3,35,38,7.89
November 30 2021,Richmond,NY,Passenger,1,0,1,2,3,33.33
January 31 2022,Nassau,NY,Passenger,4,0,4,35,39,10.26
June 30 2022,Saratoga,NY,Passenger,1,0,1,44,45,2.22
December 31 2017,Queens,NY,Passenger,1,0,1,62,63,1.59
July 31 2021,Kings,NY,Passenger,1,0,1,73,74,1.35
March 31 2019,Saratoga,NY,Passenger,1,0,1,56,57,1.75
October 31 2017,Saratoga,NY,Passenger,1,1,2,73,75,2.67
August 31 2018,Saratoga,NY,Passenger,1,0,1,61,62,1.61
May 31 2023,Ulster,NY,Passenger,1,0,1,9,10,10.0
October 31 2020,New York,NY,Passenger,2,0,2,65,67,2.99
December 31 2023,Ulster,NY,Passenger,1,0,1,7,8,12.5
June 30 2023,Saratoga,NY,Passenger,1,1,2,39,41,4.88
September 30 2018,Queens,NY,Passenger,1,0,1,63,64,1.56
November 30 2024,Saratoga,NY,Passenger,1,1,2,28,30,6.67
July 31 2024,Jefferson,NY,Passenger,3,0,3,173,176,1.7
December 31 2021,Kings,NY,Passenger,1,0,1,75,76,1.32
June 30 2022,St. Lawrence,NY,Passenger,1,0,1,6,7,14.29
February 28 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
January 31 2023,Nassau,NY,Passenger,4,0,4,28,32,12.5
October 31 2020,Nassau,NY,Passenger,5,0,5,34,39,12.82
January 31 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
November 30 2020,New York,NY,Passenger,2,0,2,62,64,3.12
November 30 2021,Jefferson,NY,Passenger,1,0,1,210,211,0.47
June 30 2018,Queens,NY,Passenger,1,0,1,63,64,1.56
September 30 2022,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
February 28 2018,Nassau,NY,Passenger,1,0,1,40,41,2.44
February 28 2022,Nassau,NY,Passenger,4,0,4,35,39,10.26
February 28 2021,Ulster,NY,Passenger,1,0,1,12,13,7.69
August 31 2022,Ulster,NY,Passenger,1,0,1,12,13,7.69
March 31 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
November 30 2022,Queens,NY,Passenger,1,0,1,40,41,2.44
March 31 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
October 31 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
August 31 2020,Kings,NY,Passenger,1,0,1,69,70,1.43
July 31 2023,Kings,NY,Passenger,1,0,1,51,52,1.92
February 28 2019,Saratoga,NY,Passenger,1,0,1,60,61,1.64
October 31 2024,Kings,NY,Passenger,1,0,1,25,26,3.85
December 31 2019,Nassau,NY,Passenger,4,0,4,45,49,8.16
January 31 2017,Saratoga,NY,Passenger,1,1,2,78,80,2.5
August 31 2024,Saratoga,NY,Passenger,1,1,2,29,31,6.45
November 30 2021,New York,NY,Passenger,2,0,2,46,48,4.17
June 30 2022,Queens,NY,Passenger,1,0,1,46,47,2.13
October 31 2021,Jefferson,NY,Passenger,1,0,1,211,212,0.47
May 31 2024,St. Lawrence,NY,Passenger,1,0,1,4,5,20.0
June 30 2023,Jefferson,NY,Passenger,2,0,2,199,201,1.0
March 31 2022,Saratoga,NY,Passenger,1,0,1,44,45,2.22
April 30 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
April 30 2023,Jefferson,NY,Passenger,2,0,2,200,202,0.99
June 30 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
July 31 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
January 31 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
September 30 2017,Saratoga,NY,Passenger,1,1,2,71,73,2.74
June 30 2023,Kings,NY,Passenger,1,0,1,53,54,1.85
March 31 2024,Nassau,NY,Passenger,2,0,2,19,21,9.52
October 31 2022,Nassau,NY,Passenger,3,0,3,28,31,9.68
May 31 2019,Saratoga,NY,Passenger,1,0,1,53,54,1.85
October 31 2018,Saratoga,NY,Passenger,1,0,1,58,59,1.69
May 31 2023,Nassau,NY,Passenger,4,0,4,28,32,12.5
September 30 2024,St. Lawrence,NY,Passenger,1,0,1,3,4,25.0
June 30 2024,Nassau,NY,Passenger,2,0,2,18,20,10.0
June 30 2020,Ulster,NY,Passenger,1,0,1,12,13,7.69
March 31 2023,Jefferson,NY,Passenger,2,0,2,207,209,0.96
November 30 2022,Ulster,NY,Passenger,1,0,1,10,11,9.09
April 30 2024,Nassau,NY,Passenger,2,0,2,19,21,9.52
December 31 2022,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
March 31 2024,St. Lawrence,NY,Passenger,1,0,1,4,5,20.0
March 31 2023,Ulster,NY,Passenger,1,0,1,9,10,10.0
May 31 2021,Kings,NY,Passenger,1,0,1,74,75,1.33
October 31 2024,St. Lawrence,NY,Passenger,1,0,1,3,4,25.0
April 30 2021,Queens,NY,Passenger,2,0,2,54,56,3.57
May 31 2024,Tompkins,NY,Passenger,1,0,1,11,12,8.33
July 31 2024,Tompkins,NY,Passenger,1,0,1,9,10,10.0
May 31 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
May 31 2022,Jefferson,NY,Passenger,1,0,1,213,214,0.47
April 30 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
February 28 2023,New York,NY,Passenger,2,0,2,37,39,5.13
February 29 2024,Richmond,NY,Passenger,1,0,1,3,4,25.0
April 30 2022,Queens,NY,Passenger,1,0,1,49,50,2.0
August 31 2017,Nassau,NY,Passenger,1,1,2,41,43,4.65
January 31 2022,Ulster,NY,Passenger,1,0,1,14,15,6.67
January 31 2021,New York,NY,Passenger,2,0,2,60,62,3.23
September 30 2023,Kings,NY,Passenger,2,0,2,46,48,4.17
March 31 2019,Jefferson,NY,Passenger,0,1,1,224,225,0.44
November 30 2022,Nassau,NY,Passenger,4,0,4,27,31,12.9
February 29 2020,Nassau,NY,Passenger,5,0,5,45,50,10.0
July 31 2024,Kings,NY,Passenger,1,0,1,32,33,3.03
September 30 2021,Jefferson,NY,Passenger,1,0,1,210,211,0.47
December 31 2023,Saratoga,NY,Passenger,1,1,2,36,38,5.26
June 30 2024,Saratoga,NY,Passenger,1,1,2,30,32,6.25
March 31 2024,New York,NY,Passenger,2,0,2,33,35,5.71
August 31 2023,Jefferson,NY,Passenger,2,0,2,199,201,1.0
August 31 2020,Nassau,NY,Passenger,5,0,5,36,41,12.2
August 31 2019,Jefferson,NY,Passenger,0,1,1,215,216,0.46
September 30 2024,Tompkins,NY,Passenger,1,0,1,9,10,10.0
April 30 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
September 30 2018,Saratoga,NY,Passenger,1,0,1,60,61,1.64
August 31 2022,Saratoga,NY,Passenger,1,0,1,44,45,2.22
August 31 2021,Saratoga,NY,Passenger,1,0,1,44,45,2.22
February 28 2023,Richmond,NY,Passenger,1,0,1,2,3,33.33
December 31 2019,Queens,NY,Passenger,1,0,1,53,54,1.85
April 30 2018,Jefferson,NY,Passenger,1,0,1,220,221,0.45
January 31 2023,Saratoga,NY,Passenger,1,1,2,45,47,4.26
February 28 2017,Monroe,NY,Passenger,1,0,1,29,30,3.33
September 30 2022,New York,NY,Passenger,2,0,2,39,41,4.88
June 30 2023,Ulster,NY,Passenger,1,0,1,9,10,10.0
March 31 2021,New York,NY,Passenger,2,0,2,57,59,3.39
September 30 2024,Kings,NY,Passenger,1,0,1,28,29,3.45
June 30 2021,Queens,NY,Passenger,2,0,2,53,55,3.64
September 30 2018,Nassau,NY,Passenger,2,0,2,40,42,4.76
November 30 2021,Saratoga,NY,Passenger,1,0,1,42,43,2.33
August 31 2023,Nassau,NY,Passenger,2,0,2,27,29,6.9
January 31 2024,Richmond,NY,Passenger,1,0,1,3,4,25.0
September 30 2021,New York,NY,Passenger,2,0,2,48,50,4.0
July 31 2021,Ulster,NY,Passenger,1,0,1,13,14,7.14
December 31 2022,Saratoga,NY,Passenger,1,0,1,45,46,2.17
March 31 2018,Queens,NY,Passenger,1,0,1,65,66,1.52
April 30 2017,Saratoga,NY,Passenger,1,1,2,74,76,2.63
March 31 2022,New York,NY,Passenger,2,0,2,46,48,4.17
March 31 2017,Jefferson,NY,Passenger,1,1,2,258,260,0.77
June 30 2019,Nassau,NY,Passenger,4,0,4,43,47,8.51
December 31 2021,Jefferson,NY,Passenger,1,0,1,213,214,0.47
April 30 2021,Richmond,NY,Passenger,1,0,1,6,7,14.29
December 31 2023,New York,NY,Passenger,2,0,2,33,35,5.71
April 30 2018,Saratoga,NY,Passenger,1,1,2,65,67,2.99
January 31 2018,Nassau,NY,Passenger,1,0,1,40,41,2.44
November 30 2023,Jefferson,NY,Passenger,2,0,2,189,191,1.05
November 30 2021,Kings,NY,Passenger,1,0,1,75,76,1.32
August 31 2018,Nassau,NY,Passenger,2,0,2,39,41,4.88
November 30 2020,Kings,NY,Passenger,1,0,1,71,72,1.39
March 31 2024,Saratoga,NY,Passenger,1,1,2,33,35,5.71
September 30 2024,Jefferson,NY,Passenger,3,0,3,165,168,1.79
October 31 2022,New York,NY,Passenger,2,0,2,38,40,5.0
September 30 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
January 31 2020,Queens,NY,Passenger,1,0,1,53,54,1.85
December 31 2021,New York,NY,Passenger,2,0,2,45,47,4.26
October 31 2019,Jefferson,NY,Passenger,0,1,1,209,210,0.48
July 31 2023,Ulster,NY,Passenger,1,0,1,9,10,10.0
November 30 2018,Saratoga,NY,Passenger,1,0,1,60,61,1.64
September 30 2022,Jefferson,NY,Passenger,1,0,1,217,218,0.46
November 30 2021,Queens,NY,Passenger,1,0,1,51,52,1.92
February 28 2022,Queens,NY,Passenger,1,0,1,53,54,1.85
December 31 2023,Jefferson,NY,Passenger,2,0,2,186,188,1.06
July 31 2024,Nassau,NY,Passenger,2,0,2,15,17,11.76
March 31 2022,Queens,NY,Passenger,1,0,1,52,53,1.89
August 31 2019,Nassau,NY,Passenger,4,0,4,44,48,8.33
December 31 2019,Jefferson,NY,Passenger,0,1,1,210,211,0.47
November 30 2023,Tompkins,NY,Passenger,1,0,1,13,14,7.14
June 30 2021,New York,NY,Passenger,2,0,2,52,54,3.7
November 30 2020,Nassau,NY,Passenger,5,0,5,34,39,12.82
November 30 2023,Nassau,NY,Passenger,2,0,2,24,26,7.69
April 30 2022,Ulster,NY,Passenger,1,0,1,13,14,7.14
March 31 2023,New York,NY,Passenger,2,0,2,35,37,5.41
September 30 2020,Nassau,NY,Passenger,5,0,5,35,40,12.5
May 31 2024,Jefferson,NY,Passenger,3,0,3,173,176,1.7
November 30 2023,Kings,NY,Passenger,2,0,2,43,45,4.44
May 31 2020,Queens,NY,Passenger,1,0,1,52,53,1.89
June 30 2019,Jefferson,NY,Passenger,0,1,1,216,217,0.46
July 31 2022,Jefferson,NY,Passenger,1,0,1,215,216,0.46
March 31 2020,Nassau,NY,Passenger,5,0,5,42,47,10.64
January 31 2021,Queens,NY,Passenger,1,0,1,54,55,1.82
April 30 2022,New York,NY,Passenger,2,0,2,47,49,4.08
May 31 2018,Jefferson,NY,Passenger,1,0,1,226,227,0.44
November 30 2024,St. Lawrence,NY,Passenger,1,0,1,3,4,25.0
April 30 2022,Nassau,NY,Passenger,4,0,4,36,40,10.0
January 31 2017,Jefferson,NY,Passenger,1,1,2,250,252,0.79
September 30 2019,Nassau,NY,Passenger,4,0,4,43,47,8.51
December 31 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
January 31 2022,Kings,NY,Passenger,1,0,1,76,77,1.3
March 31 2022,Jefferson,NY,Passenger,1,0,1,211,212,0.47
August 31 2021,Queens,NY,Passenger,2,0,2,52,54,3.7
May 31 2023,New York,NY,Passenger,2,0,2,35,37,5.41
February 28 2023,Nassau,NY,Passenger,4,0,4,28,32,12.5
October 31 2020,Ulster,NY,Passenger,1,0,1,13,14,7.14
November 30 2021,Nassau,NY,Passenger,4,0,4,32,36,11.11
October 31 2022,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
June 30 2024,St. Lawrence,NY,Passenger,1,0,1,4,5,20.0
May 31 2021,Queens,NY,Passenger,2,0,2,53,55,3.64
August 31 2021,New York,NY,Passenger,2,0,2,48,50,4.0
April 30 2020,Nassau,NY,Passenger,5,0,5,40,45,11.11
March 31 2017,Monroe,NY,Passenger,1,0,1,30,31,3.23
November 30 2024,New York,NY,Passenger,1,0,1,20,21,4.76
May 31 2021,Richmond,NY,Passenger,1,0,1,6,7,14.29
February 29 2024,Saratoga,NY,Passenger,1,1,2,34,36,5.56
July 31 2024,Saratoga,NY,Passenger,1,1,2,30,32,6.25
February 28 2022,Ulster,NY,Passenger,1,0,1,14,15,6.67
April 30 2021,Kings,NY,Passenger,1,0,1,75,76,1.32
September 30 2024,Saratoga,NY,Passenger,1,1,2,30,32,6.25
June 30 2020,Queens,NY,Passenger,1,0,1,51,52,1.92
July 31 2019,Jefferson,NY,Passenger,0,1,1,217,218,0.46
October 31 2021,Nassau,NY,Passenger,4,0,4,33,37,10.81
July 31 2022,Saratoga,NY,Passenger,1,0,1,44,45,2.22
January 31 2017,Monroe,NY,Passenger,1,0,1,31,32,3.12
April 30 2022,Kings,NY,Passenger,1,0,1,69,70,1.43
August 31 2022,Jefferson,NY,Passenger,1,0,1,215,216,0.46
April 30 2024,Saratoga,NY,Passenger,1,1,2,33,35,5.71
August 31 2024,Kings,NY,Passenger,1,0,1,28,29,3.45
April 30 2023,Ulster,NY,Passenger,1,0,1,9,10,10.0
August 31 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
June 30 2022,Nassau,NY,Passenger,4,0,4,31,35,11.43
May 31 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
April 30 2017,Monroe,NY,Passenger,1,0,1,28,29,3.45
December 31 2022,New York,NY,Passenger,2,0,2,37,39,5.13
August 31 2024,Tompkins,NY,Passenger,1,0,1,9,10,10.0
September 30 2020,Kings,NY,Passenger,1,0,1,70,71,1.41
March 31 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
January 31 2018,Queens,NY,Passenger,1,0,1,63,64,1.56
June 30 2023,New York,NY,Passenger,2,0,2,34,36,5.56
March 31 2017,Nassau,NY,Passenger,0,1,1,41,42,2.38
November 30 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
September 30 2023,Richmond,NY,Passenger,1,0,1,3,4,25.0
September 30 2023,Nassau,NY,Passenger,2,0,2,25,27,7.41
February 29 2024,New York,NY,Passenger,2,0,2,33,35,5.71
December 31 2018,Saratoga,NY,Passenger,1,0,1,60,61,1.64
August 31 2020,Queens,NY,Passenger,1,0,1,52,53,1.89
January 31 2024,Jefferson,NY,Passenger,2,0,2,182,184,1.09
May 31 2024,Saratoga,NY,Passenger,1,1,2,31,33,6.06
May 31 2017,Monroe,NY,Passenger,1,0,1,27,28,3.57
March 31 2024,Kings,NY,Passenger,2,0,2,36,38,5.26
January 31 2023,Richmond,NY,Passenger,1,0,1,2,3,33.33
September 30 2021,Kings,NY,Passenger,1,0,1,76,77,1.3
October 31 2021,Kings,NY,Passenger,1,0,1,79,80,1.25
October 31 2021,Richmond,NY,Passenger,1,0,1,2,3,33.33
September 30 2023,Saratoga,NY,Passenger,1,1,2,38,40,5.0
December 31 2023,Richmond,NY,Passenger,1,0,1,3,4,25.0
July 31 2023,Jefferson,NY,Passenger,2,0,2,199,201,1.0
October 31 2023,Tompkins,NY,Passenger,1,0,1,14,15,6.67
October 31 2023,New York,NY,Passenger,2,0,2,32,34,5.88
July 31 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
November 30 2020,Queens,NY,Passenger,1,0,1,55,56,1.79
December 31 2020,Nassau,NY,Passenger,5,0,5,34,39,12.82
September 30 2022,Nassau,NY,Passenger,3,0,3,29,32,9.38
May 31 2017,Jefferson,NY,Passenger,1,1,2,250,252,0.79
November 30 2017,Nassau,NY,Passenger,1,1,2,41,43,4.65
November 30 2024,Nassau,NY,Passenger,1,0,1,14,15,6.67
January 31 2018,Jefferson,NY,Passenger,1,0,1,227,228,0.44
January 31 2021,Kings,NY,Passenger,1,0,1,70,71,1.41
October 31 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
April 30 2022,St. Lawrence,NY,Passenger,1,0,1,6,7,14.29
November 30 2023,Ulster,NY,Passenger,1,0,1,7,8,12.5
May 31 2021,New York,NY,Passenger,2,0,2,55,57,3.51
April 30 2024,New York,NY,Passenger,2,0,2,33,35,5.71
July 31 2019,Saratoga,NY,Passenger,1,0,1,52,53,1.89
October 31 2022,Jefferson,NY,Passenger,1,0,1,216,217,0.46
March 31 2022,Nassau,NY,Passenger,4,0,4,35,39,10.26
June 30 2018,Saratoga,NY,Passenger,1,1,2,63,65,3.08
October 31 2021,New York,NY,Passenger,2,0,2,46,48,4.17
October 31 2021,Ulster,NY,Passenger,1,0,1,14,15,6.67
November 30 2022,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
May 31 2023,Jefferson,NY,Passenger,2,0,2,201,203,0.99
October 31 2022,Saratoga,NY,Passenger,1,0,1,43,44,2.27
November 30 2018,Nassau,NY,Passenger,3,0,3,39,42,7.14
November 30 2022,New York,NY,Passenger,2,0,2,37,39,5.13
September 30 2024,New York,NY,Passenger,1,0,1,22,23,4.35
December 31 2018,Nassau,NY,Passenger,3,0,3,38,41,7.32
June 30 2024,New York,NY,Passenger,2,0,2,29,31,6.45
July 31 2017,Saratoga,NY,Passenger,1,1,2,73,75,2.67
March 31 2020,Queens,NY,Passenger,1,0,1,54,55,1.82
September 30 2020,New York,NY,Passenger,2,0,2,64,66,3.03
July 31 2022,St. Lawrence,NY,Passenger,1,0,1,6,7,14.29
April 30 2021,Nassau,NY,Passenger,5,0,5,35,40,12.5
January 31 2019,Saratoga,NY,Passenger,1,0,1,59,60,1.67
April 30 2024,Kings,NY,Passenger,2,0,2,33,35,5.71
January 31 2022,New York,NY,Passenger,2,0,2,46,48,4.17
February 28 2023,Ulster,NY,Passenger,1,0,1,9,10,10.0
September 30 2021,Queens,NY,Passenger,2,0,2,49,51,3.92
December 31 2023,Kings,NY,Passenger,2,0,2,42,44,4.55
March 31 2021,Queens,NY,Passenger,2,0,2,53,55,3.64
December 31 2021,Nassau,NY,Passenger,4,0,4,35,39,10.26
September 30 2017,Nassau,NY,Passenger,1,1,2,42,44,4.55
November 30 2019,Jefferson,NY,Passenger,0,1,1,207,208,0.48
October 31 2022,Ulster,NY,Passenger,1,0,1,10,11,9.09
December 31 2020,Queens,NY,Passenger,1,0,1,55,56,1.79
February 28 2022,Jefferson,NY,Passenger,1,0,1,210,211,0.47
August 31 2017,Jefferson,NY,Passenger,1,0,1,243,244,0.41
May 31 2024,Nassau,NY,Passenger,2,0,2,18,20,10.0
April 30 2019,Saratoga,NY,Passenger,1,0,1,56,57,1.75
December 31 2021,Richmond,NY,Passenger,1,0,1,2,3,33.33
October 31 2019,Nassau,NY,Passenger,4,0,4,44,48,8.33
April 30 2024,St. Lawrence,NY,Passenger,1,0,1,4,5,20.0
September 30 2023,New York,NY,Passenger,2,0,2,33,35,5.71
February 29 2024,St. Lawrence,NY,Passenger,1,0,1,4,5,20.0
October 31 2023,Kings,NY,Passenger,2,0,2,45,47,4.26
May 31 2022,Nassau,NY,Passenger,4,0,4,35,39,10.26
February 28 2017,Nassau,NY,Passenger,0,1,1,40,41,2.44
April 30 2019,Jefferson,NY,Passenger,0,1,1,221,222,0.45
August 31 2023,Richmond,NY,Passenger,1,0,1,3,4,25.0
December 31 2023,Tompkins,NY,Passenger,1,0,1,12,13,7.69
June 30 2024,Jefferson,NY,Passenger,3,0,3,171,174,1.72
October 31 2021,Queens,NY,Passenger,1,0,1,49,50,2.0
April 30 2023,Richmond,NY,Passenger,1,0,1,2,3,33.33
March 31 2023,Richmond,NY,Passenger,1,0,1,2,3,33.33
August 31 2024,New York,NY,Passenger,2,0,2,23,25,8.0
December 31 2020,New York,NY,Passenger,2,0,2,62,64,3.12
March 31 2022,Kings,NY,Passenger,1,0,1,73,74,1.35
March 31 2018,Nassau,NY,Passenger,1,0,1,38,39,2.56
June 30 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
May 31 2022,Kings,NY,Passenger,1,0,1,68,69,1.45
August 31 2024,Jefferson,NY,Passenger,3,0,3,167,170,1.76
September 30 2021,Saratoga,NY,Passenger,1,0,1,45,46,2.17
October 31 2023,Ulster,NY,Passenger,1,0,1,7,8,12.5
February 28 2022,Saratoga,NY,Passenger,1,0,1,42,43,2.33
August 31 2022,Nassau,NY,Passenger,4,0,4,31,35,11.43
February 28 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
August 31 2023,Kings,NY,Passenger,2,0,2,50,52,3.85
June 30 2023,Richmond,NY,Passenger,1,0,1,3,4,25.0
August 31 2023,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
May 31 2022,New York,NY,Passenger,2,0,2,45,47,4.26
March 31 2024,Jefferson,NY,Passenger,2,0,2,178,180,1.11
July 31 2020,Nassau,NY,Passenger,5,0,5,36,41,12.2
August 31 2023,Saratoga,NY,Passenger,1,1,2,38,40,5.0
June 30 2018,Nassau,NY,Passenger,2,0,2,40,42,4.76
July 31 2018,Queens,NY,Passenger,1,0,1,63,64,1.56
August 31 2017,Saratoga,NY,Passenger,1,1,2,71,73,2.74
December 31 2020,Kings,NY,Passenger,1,0,1,70,71,1.41
October 31 2018,Nassau,NY,Passenger,3,0,3,39,42,7.14
April 30 2023,New York,NY,Passenger,2,0,2,34,36,5.56
